ISBN/UPC	Manufacturer	Product Name	Referring Product URL	Condition	Quantity	Price	Shipping costs
033937029127	The Travel Channel	 California, Hawaii and Alaska 	http://www.travelvideostore.com/product_info.php?products_id=974&ref=115122	New	44	3.47	0.50
033937029158	The Travel Channel	 Red Rock Rim, Northern New Mexico and Natchez Trace 	http://www.travelvideostore.com/product_info.php?products_id=977&ref=115122	New	44	3.47	0.50
794055000000	Helen Whitney Productions	 John Paul II The Millennial Pope	http://www.travelvideostore.com/product_info.php?products_id=1664&ref=115122	New	2	3.47	0.50
645272012032	WNET	Amazing Tales from the San Diego Zoo 	http://www.travelvideostore.com/product_info.php?products_id=1672&ref=115122	New	4	3.47	0.50
033937022814	Spectrum Associates	 London, Paris, Rome 	http://www.travelvideostore.com/product_info.php?products_id=924&ref=115122	New	59	3.47	0.50
033937024603	Trailwood Films	 Touring Canada's National Parks 	http://www.travelvideostore.com/product_info.php?products_id=1660&ref=115122	New	44	3.47	0.50
033937034688	SeaVid	 Western Caribbean 	http://www.travelvideostore.com/product_info.php?products_id=1009&ref=115122	New	4	3.47	0.50
028048764036	International Video Network	 Cosmic Rhapsody 	http://www.travelvideostore.com/product_info.php?products_id=1014&ref=115122	New	1	3.47	0.50
1879587025	Wish You Were Here Productions	 Bali Life in the Balance	http://www.travelvideostore.com/product_info.php?products_id=1145&ref=115122	New	5	3.47	0.60
028048940034	Rand McNally	 Challenge of Everest 	http://www.travelvideostore.com/product_info.php?products_id=1090&ref=115122	New	5	3.47	0.70
028048626037	Rand McNally	 San Francisco 	http://www.travelvideostore.com/product_info.php?products_id=1111&ref=115122	New	51	3.47	0.50
028048615031	Rand McNally	 Scenic National Parks 	http://www.travelvideostore.com/product_info.php?products_id=1126&ref=115122	New	1	3.47	0.50
028048624033	Rand McNally	 Chicago 	http://www.travelvideostore.com/product_info.php?products_id=1128&ref=115122	New	2	3.47	0.50
028048629038	Rand McNally	 New York City 	http://www.travelvideostore.com/product_info.php?products_id=1131&ref=115122	New	37	3.47	0.50
028048633035	Rand McNally	 New Orleans 	http://www.travelvideostore.com/product_info.php?products_id=1132&ref=115122	New	60	3.47	0.50
028048775038	Rand McNally	 Las Vegas 	http://www.travelvideostore.com/product_info.php?products_id=1137&ref=115122	New	37	3.47	0.50
028048777036	Rand McNally	 Golden Gate Bridge 	http://www.travelvideostore.com/product_info.php?products_id=1114&ref=115122	New	1	3.47	0.50
028048674038	Rand McNally	 Florida 	http://www.travelvideostore.com/product_info.php?products_id=1133&ref=115122	New	2	3.47	0.50
028048620035	Rand McNally	 Celebrated Cities of America 	http://www.travelvideostore.com/product_info.php?products_id=1110&ref=115122	New	3	3.47	0.50
880517000232	SJB Productions	 Dive Adventures 	http://www.travelvideostore.com/product_info.php?products_id=1202&ref=115122	New	2	3.47	0.60
880517002137	SJB Productions	 Grenada Spice Island of the Caribbean	http://www.travelvideostore.com/product_info.php?products_id=1210&ref=115122	New	4	3.47	0.60
033937028687	Questar	 Ireland 	http://www.travelvideostore.com/product_info.php?products_id=968&ref=115122	New	38	3.47	0.50
033937028694	Questar	 Italy 	http://www.travelvideostore.com/product_info.php?products_id=969&ref=115122	New	37	3.47	0.50
033937028717	Questar	 England Wearing the Crown of History	http://www.travelvideostore.com/product_info.php?products_id=971&ref=115122	New	73	3.47	0.50
033937028724	Questar	 France The Heart of Culture	http://www.travelvideostore.com/product_info.php?products_id=972&ref=115122	New	73	3.47	0.50
033937028731	Questar	 Hawaii Polynesian Paradise	http://www.travelvideostore.com/product_info.php?products_id=973&ref=115122	New	52	3.47	0.50
033937032974	Back Door Productions	 Great Britain 	http://www.travelvideostore.com/product_info.php?products_id=995&ref=115122	New	115	3.47	0.50
033937033001	Back Door Productions	 Germany & Austria 	http://www.travelvideostore.com/product_info.php?products_id=998&ref=115122	New	4	3.47	0.50
743252880333	The Discovery Channel	 Splendors of the Sea The Caribbean's Secret World	http://www.travelvideostore.com/product_info.php?products_id=1227&ref=115122	New	10	3.47	0.50
028048224035	International Video Network	 Vienna 	http://www.travelvideostore.com/product_info.php?products_id=1172&ref=115122	New	1	3.47	0.50
028048222031	International Video Network	 Rome 	http://www.travelvideostore.com/product_info.php?products_id=1158&ref=115122	New	10	3.47	0.50
028048228033	International Video Network	 New York 	http://www.travelvideostore.com/product_info.php?products_id=1174&ref=115122	New	21	3.47	0.50
028048231033	International Video Network	 Paris 	http://www.travelvideostore.com/product_info.php?products_id=1177&ref=115122	New	8	3.47	0.50
028048220037	International Video Network	 London 	http://www.travelvideostore.com/product_info.php?products_id=335&ref=115122	New	33	3.47	0.50
028048247034	International Video Network	 Mexico City 	http://www.travelvideostore.com/product_info.php?products_id=1170&ref=115122	New	10	3.47	0.50
028048230036	International Video Network	 Madrid 	http://www.travelvideostore.com/product_info.php?products_id=1176&ref=115122	New	24	3.47	0.50
028048236038	International Video Network	 Lisbon 	http://www.travelvideostore.com/product_info.php?products_id=1180&ref=115122	New	23	3.47	0.50
028048235031	International Video Network	 Cairo 	http://www.travelvideostore.com/product_info.php?products_id=1162&ref=115122	New	5	3.47	0.50
028048239039	International Video Network	 Istanbul 	http://www.travelvideostore.com/product_info.php?products_id=1165&ref=115122	New	43	3.47	0.50
028048243036	International Video Network	 Johannesburg 	http://www.travelvideostore.com/product_info.php?products_id=1168&ref=115122	New	6	3.47	0.50
028048221034	International Video Network	 Berlin 	http://www.travelvideostore.com/product_info.php?products_id=1171&ref=115122	New	1	3.47	0.50
028048226039	International Video Network	 Amsterdam 	http://www.travelvideostore.com/product_info.php?products_id=1173&ref=115122	New	4	3.47	0.50
028048241032	International Video Network	 Bangkok 	http://www.travelvideostore.com/product_info.php?products_id=1167&ref=115122	New	11	3.47	0.50
6938922102080	Cushman Bolton Television Productions	White Powder Paradise Jackson Hole Wyoming	http://www.travelvideostore.com/product_info.php?products_id=3496&ref=115122	New	3	3.47	0.50
6938922170034	Cushman Bolton Television Productions	 Sea Cloud and the Riviera 	http://www.travelvideostore.com/product_info.php?products_id=3497&ref=115122	New	5	3.47	0.50
6938922150098	Cushman Bolton Television Productions	 Florida Palm Beach to the Keys	http://www.travelvideostore.com/product_info.php?products_id=3503&ref=115122	New	3	3.47	0.50
028048240035	International Video Network	 Hong Kong 	http://www.travelvideostore.com/product_info.php?products_id=1166&ref=115122	New	1	3.47	0.50
