Date,Title ID,Title Name,Qty Bought,Discount Code,Channel,Royalty
11/1/2010,8eNzOD-dlkQ,Cities of the World S1E29 - HONG KONG China,1,,YouTube,1.1
9/1/2010,8gPW5Y22kXU,Vista Point S1E166 - SULTANATE OF OMAN Oman,1,,YouTube,1.1
10/1/2010,8lQl41HYw8o,Adventures in Europe S1E103 - Munich and Prague Oktoberfest - The Bavarian Bohemian Adventure,1,,YouTube,1.1
3/1/2010,8mmEGVKUHMY,GREAT CATHEDRALS OF THE WORLD,1,,YouTube,1.1
5/1/2010,8mmEGVKUHMY,COSMOS GLOBAL DOCUMENTARIES S1E130 - GREAT CATHEDRALS OF THE WORLD,1,,YouTube,1.1
11/1/2010,8mmEGVKUHMY,COSMOS GLOBAL DOCUMENTARIES S1E130 - Great Cathedrals of the World,1,,YouTube,1.1
12/1/2010,8mmEGVKUHMY,COSMOS GLOBAL DOCUMENTARIES S1E130 - Great Cathedrals of the World,1,,YouTube,2.2
1/1/2010,8upwUtbkG_8,History Of World War II The Japanese Paranoia,1,,YouTube,1.1
9/1/2010,8vppOHP8v3I,Ephesus,1,,YouTube,1.1
7/1/2010,94mNz8oL5Ek,Vista Point S2E250 - Tierra del Fuego,1,,YouTube,1.1
2/1/2010,9jAMWi1Nzj8,Ocean Oasis Two Worlds - One Paradise,1,,YouTube,1.1
4/1/2010,9T37c86DyLg,VOYAGER OF THE SEAS - Royal Caribbean,1,,YouTube,1.1
12/1/2010,9T37c86DyLg,EXTRAVAGANZA S1E11 - VOYAGER OF THE SEAS - Royal Caribbean,1,,YouTube,1.1
10/1/2010,9WVMV2ILIsA,"Weekend Explorer S1E111 - Eureka, California",1,,YouTube,1.1
10/1/2010,A7HUBXnnPvY,Vista Point S1E208 - CHIANG MAI Thailand,1,,YouTube,1.1
8/1/2010,ABbEVEVs__A,Cities of the World S1E22 - DUBAI United Arab Emirates,1,,YouTube,1.1
