products_id	customerflix_id	master	cover	label	web	amazon	mediazone	google	akimbo	distribution_end_date	title	products_model	products_name_prefix	products_name	products_name_suffix	products_head_desc_tag	producers_name	vendors_name	
7390	236898	0	0	0	0	0	0	0	0		Nature Wonders  YEHLIU Taiwan	NWG-DVD-164		YEHLIU	Taiwan	Nature Wonders YEHLIU Taiwan DVD Global Television Arcadia Films	Global Television	GLOBAL TELEVISION est
6877	236697	0	0	0	0	0	0	0	0		Global Treasures  YEDIKULE FORTRESS Suur Istanbul, Turkey	GTR-DVD-1158		YEDIKULE FORTRESS	Suur Istanbul, Turkey	Global Treasures SUUR Istanbul, Turkey DVD Global Television	Global Television	GLOBAL TELEVISION est
13115		0	0	0	0	0	0	0	0		Dive Travel  Yap, Micronesia	GRK-DVD-YAP		Yap, Micronesia		Dive Travel DVD Yap, Micronesia Gary Knapp GRK Productions	GRK Productions	GRK Productions
13340		0	0	0	0	0	0	0	0		Dive Travel  Yap, Micronesia Blu-ray	GRK-BDVD-133		Yap, Micronesia	Blu-ray	Dive Travel DVD Yap, Micronesia Gary Knapp GRK Productions	GRK Productions	GRK Productions
9936		0	0	0	0	0	0	0	0		Planet Terra  YANGON MYANMAR	PT-DL-023		YANGON MYANMAR		YANGON MYANMAR Planet Terra, Global Television	Global Television	GLOBAL TELEVISION est
7082	237136	0	0	0	0	0	0	0	0		Vista Point  YANGON Myanmar	VPG-DVD-203		YANGON	Myanmar	Vista Point Yangon Myanmar DVD Global Television Arcadia Films	Global Television	GLOBAL TELEVISION est
7742	258521	0	0	0	0	0	0	0	0		Yachatsanova Visions of the Oregon Coast	SB-DVD-01164		Yachatsanova	Visions of the Oregon Coast	Yachatsanova: Visions of the Oregon Coast DVD Shiny Bits	Shiny Bits	Don Whitaker
6791	236730	0	0	0	0	0	0	0	0		Global Treasures  XUMI-FUSHOU-MIAO Qing Dynasty Summer Palace Outer Temple Chengde, China	GTR-DVD-1072		XUMI-FUSHOU-MIAO	Qing Dynasty Summer Palace Outer Temple Chengde, China	Global Treasures Xumi-Fushou-Miao DVD Global Television	Global Television	GLOBAL TELEVISION est
13224	352909	0	0	0	0	0	0	0	0		Naxos Scenic Musical Journeys  Xinjiang A Cultural Tour with Traditional Chinese Music	NAX-DVD-170		Xinjiang	A Cultural Tour with Traditional Chinese Music	Naxos Scenic Musical Journeys Xinjiang A Cultural Tour with Traditional Chinese Music DVD Naxos of America Inc	Alpha DVD	Naxos of America, Inc.
13317	373636	0	0	0	0	0	0	0	0		Accidental Chef  Xiamen, China	AC-DVD-103		Xiamen, China		Accidental Chef Xiamen, China DVD Ochrepictures Media Architects	Ochrepictures Media Architects	Looking Glass International
