"Member ID","163145"
"Legacy Account ID",""
"Business Name","Travel Video Store"
"Address","5420 Boran Dr"
"","Tampa FL  33610"
"","United States"
"Date for Report","00:23 PST Jan  5 2015 "
"Date Range","12/01/14 to 01/01/15"
""
""
"Sales Channel","Sales Date","External SKU","UPC/EAN","TitleID","Title","Units","HAP/Sales Price","HAP/Sales Price Total","Extended Price %","Extended Price per Unit","Extended Price Total","Cost per Unit","Cost Total","Publisher Compensation per Unit","Publisher Compensation Total"
"Amazon UK Retail","05/12/2014","","885444210600","278513","Barbados Island in the Sun","1","11.99","11.99","50%","5.99","5.99","0.00","0.00","5.99","5.99"
"Amazon UK Retail","28/12/2014","JDPDVDALWAYS","885444217807","279068","Acadia Always The Story of Acadia National Park","1","11.99","11.99","50%","5.99","5.99","0.00","0.00","5.99","5.99"
"Amazon UK Retail","30/12/2014","JDPDVDMEAC","885444217852","279073","Maine America's Coast","1","11.99","11.99","50%","5.99","5.99","0.00","0.00","5.99","5.99"
"Amazon UK Retail","10/12/2014","261158","885444254871","280342","Iceland's Favourite Places Reykjavik & The Golden Circle (NTSC)","1","7.41","7.41","50%","3.70","3.70","0.00","0.00","3.70","3.70"
"Amazon UK Retail","07/12/2014","261158","885444254871","280342","Iceland's Favourite Places Reykjavik & The Golden Circle (NTSC)","1","7.41","7.41","50%","3.70","3.70","0.00","0.00","3.70","3.70"
"Amazon UK Retail","10/12/2014","261404","885444254901","280345","Mysterious World of the Inca[NON-US FORMAT, PAL]","1","7.41","7.41","50%","3.70","3.70","0.00","0.00","3.70","3.70"
"Amazon UK Retail","08/12/2014","270832","885444255731","280428","Vietnam A Land of Surprises (NTSC)","1","7.41","7.41","50%","3.70","3.70","0.00","0.00","3.70","3.70"
"Amazon UK Retail","01/12/2014","270832","885444255731","280428","Vietnam A Land of Surprises (NTSC)","1","7.41","7.41","50%","3.70","3.70","0.00","0.00","3.70","3.70"
"Amazon UK Retail","03/12/2014","270832","885444255731","280428","Vietnam A Land of Surprises (NTSC)","1","7.41","7.41","50%","3.70","3.70","0.00","0.00","3.70","3.70"
"Amazon UK Retail","15/12/2014","270832","885444255731","280428","Vietnam A Land of Surprises (NTSC)","1","7.41","7.41","50%","3.70","3.70","0.00","0.00","3.70","3.70"
"Amazon UK Retail","15/12/2014","271134","885444255748","280429","Passport to Adventure: Exploring Rural China and the Great Wall (NTSC)","1","7.41","7.41","50%","3.70","3.70","0.00","0.00","3.70","3.70"
"Amazon UK Retail","16/12/2014","267946","885444256226","280477","Lithuania the Country Film[NON-US FORMAT, PAL]","1","7.41","7.41","50%","3.70","3.70","0.00","0.00","3.70","3.70"
"Amazon UK Retail","14/12/2014","267946","885444256226","280477","Lithuania the Country Film[NON-US FORMAT, PAL]","1","7.41","7.41","50%","3.70","3.70","0.00","0.00","3.70","3.70"
"Amazon UK Retail","02/12/2014","271140","885444256523","280507","Passport to Adventure: Undiscovered Nepal (NTSC)","1","7.41","7.41","50%","3.70","3.70","0.00","0.00","3.70","3.70"
"Amazon UK Retail","08/12/2014","271542","885444256714","280526","Passport to Adventure Discovering the ""Sud Tirol,"" Italy (NTSC)","1","7.41","7.41","50%","3.70","3.70","0.00","0.00","3.70","3.70"
"Amazon UK Retail","06/12/2014","","885444277771","282322","World Destinations Seychelles","1","11.99","11.99","50%","5.99","5.99","0.00","0.00","5.99","5.99"
"Amazon UK Retail","16/12/2014","PEGDVD1274","885444455001","291605","Model Railways: An Enthusaist's Guide","1","11.99","11.99","50%","5.99","5.99","0.00","0.00","5.99","5.99"
"Amazon UK Retail","23/12/2014","PEGPDVD1187","885444455353","291640","Fishing with the Experts For Carp with Des Taylor[NON-US FORMAT, PAL]","1","11.99","11.99","50%","5.99","5.99","0.00","0.00","5.99","5.99"
"Amazon UK Retail","04/12/2014","PEGPDVD1196","885444455438","291648","Narrowboats Working on the Canals[NON-US FORMAT, PAL]","1","11.99","11.99","50%","5.99","5.99","0.00","0.00","5.99","5.99"
"Amazon UK Retail","12/12/2014","PEGPDVD1202","885444455490","291654","Fishing for Beginners Course Fishing[NON-US FORMAT, PAL]","1","11.99","11.99","50%","5.99","5.99","0.00","0.00","5.99","5.99"
"Amazon UK Retail","02/12/2014","PEGPDVD1207","885444455544","291659","Clay Shooting for the Intermediate Pegasus Entertainment[NON-US FORMAT, PAL]","1","11.99","11.99","50%","5.99","5.99","0.00","0.00","5.99","5.99"
"Amazon UK Retail","14/12/2014","PEGPDVD1317","885444455759","291680","Riot Police[NON-US FORMAT, PAL]","1","11.99","11.99","50%","5.99","5.99","0.00","0.00","5.99","5.99"
