UPC,product url,price,condition,category,format,stock,shipping rate,shipping weight
883629596563,http://www.travelvideostore.com/product_info.php?products_id=3768&ref=115123,149.00,New,Movies,DVD,Y,$0.00,0.32
883629596570,http://www.travelvideostore.com/product_info.php?products_id=3769&ref=115123,149.00,New,Movies,DVD,Y,$0.00,0.32
883629596587,http://www.travelvideostore.com/product_info.php?products_id=3770&ref=115123,149.00,New,Movies,DVD,Y,$0.00,0.32
883629596594,http://www.travelvideostore.com/product_info.php?products_id=3771&ref=115123,149.00,New,Movies,DVD,Y,$0.00,0.32
883629596600,http://www.travelvideostore.com/product_info.php?products_id=3772&ref=115123,149.00,New,Movies,DVD,Y,$0.00,0.32
883629596617,http://www.travelvideostore.com/product_info.php?products_id=3773&ref=115123,149.00,New,Movies,DVD,Y,$0.00,0.32
883629596624,http://www.travelvideostore.com/product_info.php?products_id=3774&ref=115123,149.00,New,Movies,DVD,Y,$0.00,0.32
883629596631,http://www.travelvideostore.com/product_info.php?products_id=3775&ref=115123,149.00,New,Movies,DVD,Y,$0.00,0.32
883629596648,http://www.travelvideostore.com/product_info.php?products_id=3776&ref=115123,149.00,New,Movies,DVD,Y,$0.00,0.32
883629596655,http://www.travelvideostore.com/product_info.php?products_id=3777&ref=115123,149.00,New,Movies,DVD,Y,$0.00,0.32
883629596662,http://www.travelvideostore.com/product_info.php?products_id=3778&ref=115123,149.00,New,Movies,DVD,Y,$0.00,0.32
883629596686,http://www.travelvideostore.com/product_info.php?products_id=3780&ref=115123,149.00,New,Movies,DVD,Y,$0.00,0.32
883629596723,http://www.travelvideostore.com/product_info.php?products_id=3784&ref=115123,149.00,New,Movies,DVD,Y,$0.00,0.32
883629596730,http://www.travelvideostore.com/product_info.php?products_id=3785&ref=115123,149.00,New,Movies,DVD,Y,$0.00,0.32
883629596754,http://www.travelvideostore.com/product_info.php?products_id=3787&ref=115123,149.00,New,Movies,DVD,Y,$0.00,0.32
883629596778,http://www.travelvideostore.com/product_info.php?products_id=3789&ref=115123,149.00,New,Movies,DVD,Y,$0.00,0.32
883629596808,http://www.travelvideostore.com/product_info.php?products_id=3792&ref=115123,149.00,New,Movies,DVD,Y,$0.00,0.32
880517002397,http://www.travelvideostore.com/product_info.php?products_id=3806&ref=115123,9.99,New,Movies,DVD,Y,$0.00,0.32
743218717727,http://www.travelvideostore.com/product_info.php?products_id=3810&ref=115123,18.95,New,Movies,CD,Y,$0.00,0.30
637101121299,http://www.travelvideostore.com/product_info.php?products_id=3812&ref=115123,18.95,New,Movies,CD,Y,$0.00,0.30
784461150039,http://www.travelvideostore.com/product_info.php?products_id=3814&ref=115123,19.95,New,Movies,DVD,Y,$0.00,0.32
879061000010,http://www.travelvideostore.com/product_info.php?products_id=3816&ref=115123,19.99,New,Movies,DVD,Y,$0.00,0.32
879061000041,http://www.travelvideostore.com/product_info.php?products_id=3817&ref=115123,19.99,New,Movies,DVD,Y,$0.00,0.32
879061000102,http://www.travelvideostore.com/product_info.php?products_id=3819&ref=115123,19.99,New,Movies,DVD,Y,$0.00,0.32
879061000003,http://www.travelvideostore.com/product_info.php?products_id=3821&ref=115123,19.99,New,Movies,DVD,Y,$0.00,0.32
790658964129,http://www.travelvideostore.com/product_info.php?products_id=3838&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.50
017078926620,http://www.travelvideostore.com/product_info.php?products_id=3877&ref=115123,24.95,New,Movies,DVD,Y,$0.00,0.40
017078918021,http://www.travelvideostore.com/product_info.php?products_id=3878&ref=115123,19.95,New,Movies,DVD,Y,$0.00,0.32
727994518396,http://www.travelvideostore.com/product_info.php?products_id=3894&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.50
727994518358,http://www.travelvideostore.com/product_info.php?products_id=3898&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.50
727994509332,http://www.travelvideostore.com/product_info.php?products_id=3904&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.50
033937035524,http://www.travelvideostore.com/product_info.php?products_id=3908&ref=115123,14.99,New,Movies,DVD,Y,$0.00,0.32
827561111590,http://www.travelvideostore.com/product_info.php?products_id=3962&ref=115123,14.95,New,Movies,DVD,Y,$0.00,0.32
